Date of Launch,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
2023-04-15,FACSAT-2,FACSAT-2,NR (9/23),Colombia,Colombian Air Force,Military,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,487.0,506.0,0.00138,97.4,95.0,10.0, 10 ,,2023-04-15,,GomSpace,Denmark,Vandenberg AFB,Falcon 9,2023-054AD,56205.0,
2023-04-15,BRO-9,BRO-9,France,France,UnseenLabs,Commercial,Earth Observation,Maritime Surveillance,LEO,SUN-SYNCHRONOUS,0.0,498.0,507.0,0.000655,97.5,95.0,10.0,10,,2023-04-15,,Gom Space ApS,Denmark,Vandenberg AFB,Falcon 9,2023-054H,56185.0,
2023-04-15,Sapling Giganteum (Sapling-2),Sapling-2,USA,USA,Stanford Student Space Initiative,Civil,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,487.0,506.0,0.00138,97.4,94.5,1.0, 1 ,,2023-04-15,,Stanford Student Space Initiative,USA,Vandenberg AFB,Falcon 9,2023-054AM,56213.0,Student built.
2023-04-15,Taifa-1,Taifa-1,NR (9/23),Kenya,Kenya Space Agency,Government,Earth Observation,Multispectral Imaging,LEO,SUN-SYNCHRONOUS,0.0,489.0,506.0,0.00124,97.4,95.0,4.0, 4 ,,2023-04-15,,Sayari Labs/Endurosat,Kenya/Bulgaria,Vandenberg AFB,Falcon 9,2023-054AF,56207.0,Kenya's first earth observation satellite.
2023-04-15,Hawk-7A,Hawk-7A,USA,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,SUN-SYNCHRONOUS,0.0,518.0,528.0,0.000725,97.4,94.9,31.0, 30 ,,2023-04-15,,Unitas SFL/HawkEye 360,USA,Vandenberg AFB,Falcon 9,2023-054P,56191.0,
2023-04-15,InspireSat-7,InspireSat-7,NR (9/23),France,"NRS Lab. Atmospheres, Milieux, Observations Spatiales (Verrieres) ",Government,Earth/Space Observation,,LEO,SUN-SYNCHRONOUS,0.0,487.0,507.0,0.00146,97.4,95.4,3.0, 3 ,,2023-04-15,,NRS Lab Atmospheres/Innovative Solutions In Space B.V.  ,France/Netherlands,Vandenberg AFB,Falcon 9,2023-054AK,56211.0,Designed for Earth and Sun observation.
2023-04-15,NorSat-TD,NorSat-TD,NR (9/23),Norway,Norwegian Space Center/Statsat,Government,Earth Observation,Automatic Identification System (AIS),LEO,SUN-SYNCHRONOUS,0.0,494.0,507.0,0.000946,97.4,95.4,35.0, 35 ,,2023-04-15,,Norwegian Space Center,Norway,Vandenberg AFB,Falcon 9,2023-054S,56194.0,AIS
2023-04-15,uSat-36 (Annie Cannon),t-36,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,SUN-SYNCHRONOUS,0.0,489.0,499.0,0.000728,97.4,94.4,42.0,,,2023-04-15,,Satellogic,Argentina,Vandenberg AFB,Falcon 9,2023-054N,56190.0,
2023-04-15,uSat-37 (Joan Clarke ),t-37,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,SUN-SYNCHRONOUS,0.0,491.0,507.0,0.00116,97.4,94.4,42.0, 38 ,,2023-04-15,,Satellogic,Argentina,Vandenberg AFB,Falcon 9,2023-054Z,56201.0,
2023-04-15,uSat-38 (Maria Gaetana Agnesi),t-38,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,SUN-SYNCHRONOUS,0.0,491.0,504.0,0.000946,97.4,94.4,42.0, 38 ,,2023-04-15,,Satellogic,Argentina,Vandenberg AFB,Falcon 9,2023-054AA,56202.0,
2023-04-15,uSat-39 (Tikvah Alper),t-39,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,SUN-SYNCHRONOUS,0.0,491.0,504.0,0.000946,97.4,94.4,42.0, 38 ,,2023-04-15,,Satellogic,Argentina,Vandenberg AFB,Falcon 9,2023-054AB,56203.0,
2023-04-15,Connecta T2-1,Connecta T2-1,Turkey,Turkey,Plan-S,Commercial,Earth Observation,Multispectral Imaging,LEO,SUN-SYNCHRONOUS,0.0,488.0,506.0,0.00131,97.5,95.0,10.0,10,,2023-04-15,,Plan-S,Turkey,Vandenberg AFB,Falcon 9,2023-054AJ,56210.0,Turkey's first private earth observation satellite.
2023-04-15,_MECE,_MECE,Turkey,Turkey,TB_TAK Space Technologies Research Institute,Civil,Earth Observation,Multispectral Imaging,LEO,SUN-SYNCHRONOUS,0.0,668.0,679.0,0.000781,98.1,95.0,800.0, 780 ,,2023-04-15,5.0,TB_TAK Space Technologies Research Institute,Turkey,Vandenberg AFB,Falcon 9,2023-054A,56178.0,Turkey's first earth observation satellite.
2023-04-15,LLITED-B (Low-Latitude Ionosphere/Thermosphere Enhancements in Density),LLITED-B,USA,USA,Aerospace Corporation,Commercial,Earth Science,,LEO,SUN-SYNCHRONOUS,0.0,488.0,509.0,0.00153,97.4,94.5,2.0, 2 ,,2023-04-15,,Aerospace Corporation,USA,Vandenberg AFB,Falcon 9,2023-054AT,56219.0,Study upper atmosphere phenomena.
2023-04-15,LLITED-A (Low-Latitude Ionosphere/Thermosphere Enhancements in Density),LLITED-A,USA,USA,Aerospace Corporation,Commercial,Earth Science,,LEO,SUN-SYNCHRONOUS,0.0,488.0,509.0,0.00153,97.4,94.5,2.0, 2 ,,2023-04-15,,Aerospace Corporation,USA,Vandenberg AFB,Falcon 9,2023-054AU,56220.0,Study upper atmosphere phenomena.
2023-04-15,Lemur-2 Romeo-N-LEO,Lemur-2 Romeo-N-LEO,NR (9/23),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,SUN-SYNCHRONOUS,0.0,490.0,506.0,0.00116,97.5,95.0,10.0, 10 ,,2023-04-15,,Spire Global,USA,Vandenberg AFB,Falcon 9,2023-054AE,56206.0,
2023-04-15,ADLER-2,ADLER-2,NR (9/23),Austria,Austrian Space Forum (OEWF)/Spire,Civil,Earth Science,,LEO,SUN-SYNCHRONOUS,0.0,497.0,506.0,0.000655,97.4,95.0,12.0, 12 ,,2023-04-15,,Spire Global,USA,Vandenberg AFB,Falcon 9,2023-054K,56187.0,Orbital debris monitoring/study clouds and aerosols in atmosphere
2023-04-15,Lemur-2 OnReflection,Lemur-2 OnReflection,NR (9/23),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,SUN-SYNCHRONOUS,0.0,497.0,506.0,0.000655,97.4,95.2,10.0, 10 ,,2023-04-15,,Spire Global,USA,Vandenberg AFB,Falcon 9,2023-054E,56182.0,Lemur surveillance of satellites in LEO.
2023-03-31,Yaogan 34-04 (Remote Sensing Satellite 34-04),Yaogan 34-04,NR (9/23),China,Chinese Ministry of National Defense,Military,Earth Observation,Radar Imaging,LEO,NON-POLAR INCLINED,0.0,1092.0,1096.0,0.000268,63.4,107.1,500.0, 500 ,,2023-03-31,,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2023-048A,56157.0,High resolution radar imaging.
2023-03-30,Hongtu 1-04,Hongtu 1-04,NR (9/23),Australia,PIESAT,Commercial,Earth Observation,Radar Imaging,LEO,SUN-SYNCHRONOUS,0.0,,,,97.4,95.0,270.0, 270 ,,2023-03-30,,YINHE,China,Taiyuan Launch Center,Long March 2D,2023-047D,56156.0,
2023-03-30,Hongtu 1-03,Hongtu 1-03,NR (9/23),Australia,PIESAT,Commercial,Earth Observation,Radar Imaging,LEO,SUN-SYNCHRONOUS,0.0,,,,97.4,95.0,270.0, 270 ,,2023-03-30,,YINHE,China,Taiyuan Launch Center,Long March 2D,2023-047C,56155.0,
2023-03-30,Hongtu 1-02,Hongtu 1-02,NR (9/23),Australia,PIESAT,Commercial,Earth Observation,Radar Imaging,LEO,SUN-SYNCHRONOUS,0.0,,,,97.4,95.0,270.0, 270 ,,2023-03-30,,YINHE,China,Taiyuan Launch Center,Long March 2D,2023-047B,56154.0,
2023-03-30,Hongtu 1-01,Hongtu 1-01,NR (9/23),Australia,PIESAT,Commercial,Earth Observation,Radar Imaging,LEO,SUN-SYNCHRONOUS,0.0,499.0,512.0,0.000945,97.4,95.0,320.0, 320 ,,2023-03-30,,YINHE,China,Taiyuan Launch Center,Long March 2D,2023-047A,56153.0,
2023-03-29,Cosmos 2568,Cosmos 2568,Russia,Russia,Ministry of Defense,Military,Earth/Space Observation,,LEO,SUN-SYNCHRONOUS,0.0,329.0,344.0,0.00112,96.5,95.1,,,,2023-03-29,,Unknown,Russia,Plesetsk Cosmodrome,Soyuz-2.1v,2023-045A,56091.0,Believed to be a surveillance satellite
2023-03-28,Ofeq 13,Ofeq 13,NR (9/23),Israel,Ministry of Defense,Military,Earth Observation,Radar Imaging,LEO,RETROGRADE,0.0,300.0,300.0,0.0,139.2,94.5,300.0, 270 ,,2023-03-28,,Israel Aerospace Industries (IAI),Israel,Palmachim Launch Complex ,Shavit,2023-044A,56083.0,Highly retrograde orbit for observation of Middle East.
2023-03-24,BlackSky Global 5,BlackSky Global 5,USA,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,NON-POLAR INCLINED,,,,,,,,,,2023-03-24,,LeoStella,USA,Rocket Lab Launch Complex 1,Electron,2023-041C,55983.0,
2023-03-24,BlackSky Global 19,BlackSky Global 19,USA,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,NON-POLAR INCLINED,0.0,449.0,457.0,0.000586,42.01,95.0,55.0, 50 ,,2023-03-24,,LeoStella,USA,Rocket Lab Launch Complex 1,Electron,2023-041B,55982.0,
2023-03-23,BARS-M4 (Cosmos 2567),Cosmos 2567,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,SUN-SYNCHRONOUS,0.0,501.0,514.0,0.000945,97.6,94.6,3700.0," 3,500 ",,2023-03-23,5.0,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1a,2023-040A,55978.0,Electronic intelligence gathering (ELINT).
2023-03-22,Tianmu-1 05,Tianmu-1 05,NR (9/23),China,Xiyong Microelectrics Park,Commercial,Meteorological,,LEO,SUN-SYNCHRONOUS,0.0,502.0,516.0,0.00102,97.4,95.1,50.0, 50 ,,2023-03-22,2.0,China Aerospace Science and Technology Corp. (CASC),China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2023-039C,55975.0,https://www.newspace.im/constellations/xyong-microelectronics-park
2023-03-22,Tianmu-1 03,Tianmu-1 03,NR (9/23),China,Xiyong Microelectrics Park,Commercial,Meteorological,,LEO,SUN-SYNCHRONOUS,0.0,502.0,517.0,0.00109,97.4,95.1,50.0, 50 ,,2023-03-22,2.0,China Aerospace Science and Technology Corp. (CASC),China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2023-039A,55973.0,https://www.newspace.im/constellations/xyong-microelectronics-park
2023-03-22,Tianmu-1 06,Tianmu-1 06,NR (9/23),China,Xiyong Microelectrics Park,Commercial,Meteorological,,LEO,SUN-SYNCHRONOUS,0.0,501.0,515.0,0.00102,97.4,95.1,50.0, 50 ,,2023-03-22,2.0,China Aerospace Science and Technology Corp. (CASC),China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2023-039D,55976.0,https://www.newspace.im/constellations/xyong-microelectronics-park
2023-03-22,Tianmu-1 04,Tianmu-1 04,NR (9/23),China,Xiyong Microelectrics Park,Commercial,Meteorological,,LEO,SUN-SYNCHRONOUS,0.0,502.0,517.0,0.00109,97.4,95.1,50.0, 50 ,,2023-03-22,2.0,China Aerospace Science and Technology Corp. (CASC),China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2023-039B,55974.0,https://www.newspace.im/constellations/xyong-microelectronics-park
2023-03-17,Gaofen 13-02,Gaofen 13-02,NR (9/23),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,GEO,,146.68,35771.0,35803.0,0.00038,2.58,1436.1,4600.0," 2,500 ",,2023-03-17,,Shanghai Academy of Spaceflight Technology (SAST),China,Xichang Satellite Launch Center,Long March 3B,2023-036A,55912.0,Nominally part of the civilian China High-resolution Earth Observation System (CHEOS).
2023-03-16,Capella-9 (Whitney 7),Capella-9,USA,USA,Capella Space,Commercial,Earth Observation,Radar Imaging (SAR),LEO,NON-POLAR INCLINED,0.0,586.0,612.0,0.00187,44.1,96.0,112.0, 90 ,,2023-03-16,,Capella Space,USA,Mid-Atlantic Regional Spaceport/Wallops Island,Electron,2023-035B,55909.0,
2023-03-16,Capella-10 (Whitney 8),Capella-8,USA,USA,Capella Space,Commercial,Earth Observation,Radar Imaging (SAR),LEO,NON-POLAR INCLINED,0.0,597.0,602.0,0.000359,44.0,96.0,112.0, 90 ,,2023-03-16,,Capella Space,USA,Mid-Atlantic Regional Spaceport/Wallops Island,Electron,2023-035C,55910.0,
2023-03-13,Horus-2 (Helusi-2),Horus-2,NR (9/23),Egypt,Egyptian Space Agency,Government,Earth Observation,Remote Sensing,LEO,SUN-SYNCHRONOUS,0.0,488.0,502.0,0.00102,97.5,94.5,330.0, 330 ,,2023-03-13,,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2,2023-032A,55844.0,Remote sensing function.
2023-03-09,Tianhui-6 02,Tianhui-6 02,NR (9/23),China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS NEAR POLAR,0.0,879.0,882.0,0.000207,99.0,95.0,1000.0," 1,000 ",,2023-03-09,,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2023-030D,55839.0,Possibly radar imaging.
2023-03-09,Tianhui-6 01,Tianhui-6 01,NR (9/23),China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS NEAR POLAR,0.0,880.0,887.0,0.000483,99.0,95.0,1000.0," 1,000 ",,2023-03-09,,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2023-030A,55836.0,Possibly radar imaging.
2023-02-24,Horus 1 (Helusi-1),Horus-1,NR (9/23),Egypt,Egyptian Space Agency,Government,Earth Observation,Remote Sensing,LEO,SUN-SYNCHRONOUS,0.0,497.0,508.0,0.0008,97.5,94.5,330.0, 330 ,,2023-02-24,,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2,2023-025A,55690.0,Remote sensing function.
2023-02-05,Electro-L4,Electro-L4,Russia,Russia,Roshydromet - Planeta,Government,Earth Observation,Meteorology,GEO,,165.9,35775.0,35794.0,0.000225,0.05,1436.14,8429.0," 2,283 ",,2023-02-05,10.0,Lavochkin,Russia,Baikonur Cosmodrome,Proton,2023-016A,55506.0,
2023-01-26,IGS Radar 7 (Information Gathering Satellite),IGS Radar 7,,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,LEO,SUN-SYNCHRONOUS,0.0,477.0,479.0,0.000146,97.3,94.3,1500.0," 1,000 ",,2023-01-26,5.0,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2023-012A,55329.0,Radar reconnaissance.
2023-01-24,Hawk-6C (HawkEye 360 6C),Hawk-6C,USA,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,549.0,550.0,7.23e-05,40.5,94.7,31.0, 30 ,,2023-01-24,,Unitas SFL/HawkEye 360,USA,Mid-Atlantic Regional Spaceport/Wallops Island,Electron,2023-011C,55326.0,
2023-01-24,Hawk-6B (HawkEye 360 6B),Hawk-6B,USA,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,549.0,551.0,0.000145,40.5,94.7,31.0, 30 ,,2023-01-24,,Unitas SFL/HawkEye 360,USA,Mid-Atlantic Regional Spaceport/Wallops Island,Electron,2023-011A,55324.0,
2023-01-24,Hawk-6A (HawkEye 360 6A),Hawk-6A,USA,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,NON-POLAR INCLINED,0.0,549.0,552.0,0.000217,40.5,94.7,31.0, 30 ,,2023-01-24,,Unitas SFL/HawkEye 360,USA,Mid-Atlantic Regional Spaceport/Wallops Island,Electron,2023-011D,55327.0,
2023-01-15,Jilin-1 Mofang 02A04,Jilin-1 Mofang 02A04,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,481.0,494.0,495.0,97.4,94.5,18.0, 18 ,,2023-01-15,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007F,55253.0,
2023-01-15,Jilin-1 Hongwai A08,Haihe-1,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,485.0,495.0,0.000729,97.4,94.5,42.0, 42 ,,2023-01-15,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007H,55255.0,
2023-01-15,Jilin-1 GaoFen 03D-34,Jilin-1 GaoFen 03D-34,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,491.0,496.0,0.000364,97.4,94.5,42.0, 42 ,,2023-01-15,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007D,55251.0,
2023-01-15,Jilin-1 Mofang 02A03,Jilin-1 Mofang 02A03,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,487.0,496.0,0.000656,97.4,94.5,18.0, 18 ,,2023-01-15,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007E,55252.0,
2023-01-15,Jilin-1 Hongwai A07,Wofuman,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,,,,,,,,,2023-01-15,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007J,55256.0,
2023-01-15,Jin Zijing 3,Jin Zijing 3,NR (9/23),China,Gang Hang Ke,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,483.0,494.0,0.000802,97.4,94.5,10.0, 10 ,,2023-01-15,,Gang Hang Ke,China,Taiyan Launch Center,Long March 2D,2023-007M,55259.0,
2023-01-15,Jilin-1 Mofang 02A07,Jilin-1 Mofang 02A07,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,478.0,495.0,495.0,97.4,94.5,18.0, 18 ,,2023-01-15,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007G,55254.0,
2023-01-15,Beiyou-1,Beiyou-1,NR (9/23),China,"Changsha Tianyi space science and Technology Research Institute Co., Ltd. (Spacety)",Commercial,Earth Observation,Radar Imaging,LEO,SUN-SYNCHRONOUS,0.0,479.0,494.0,0.00109,97.4,95.1,50.0, 50 ,,2023-01-15,,Changsha Tianyi,China,Taiyuan Launch Center,Long March 2D,2023-007K,55257.0,https://equalocean.com/briefing/20211101230091594
2023-01-15,Jin Zijing 4,Jin Zijing 4,NR (9/23),China,Gang Hang Ke,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,481.0,492.0,0.000802,97.4,94.5,10.0, 10 ,,2023-01-15,,Gang Hang Ke,China,Taiyuan Launch Center,Long March 2D,2023-007N,55260.0,
2023-01-15,Luojia 3-01,Luojia 3-01,NR (9/23),China,Wuhan University,Civil,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,485.0,498.0,0.000947,97.5,95.1,245.0, 245 ,,2023-01-15,,Wuhan University,China,Taiyuan Launch Center,Long March 2D,2023-007C,55250.0,Experimental remote sensing.
2023-01-15,Jin Zijing 6,Jin Zijing 6,NR (9/23),China,Gang Hang Ke,Commercial,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,481.0,492.0,0.000802,97.4,94.5,50.0, 50 ,,2023-01-15,,Gang Hang Ke,China,Taiyuan Launch Center,Long March 2D,2023-007L,55258.0,
2023-01-15,Qilu 2,Qilu 2,NR (9/23),China,Shandong Institutes of Industrial Technology,Government,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,488.0,499.0,0.000801,97.4,94.7,189.0, 189 ,,2023-01-15,,Shandong Institutes of Industrial Technology,China,Taiyuan Launch Center,Long March 2D,2023-007A,55248.0,Earth observation - optical imaging.
2023-01-15,Qilu 3,Qilu 3,NR (9/23),China,Shandong Institutes of Industrial Technology,Government,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,480.0,497.0,0.00124,97.4,94.7,186.0, 186 ,,2023-01-15,,Shandong Institutes of Industrial Technology,China,Taiyuan Launch Center,Long March 2D,2023-007B,55249.0,Earth observation - optical imaging.
2023-01-13,Yaogan 37-1,Yaogan 37-1,NR (9/23),China,Chinese Ministry of National Defense,Military,Earth Observation,Optical Imaging,LEO,NON-POLAR INCLINED,0.0,508.0,522.0,0.00102,95.1,,1000.0," 1,000 ",,2023-01-13,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2023-006C,55244.0,
2023-01-09,Tianmu-1 02,Tianmu-1 02,NR (9/23),China,Xiyong Microelectrics Park,Commercial,Meteorological,,LEO,SUN-SYNCHRONOUS,0.0,494.0,511.0,0.00124,97.2,95.1,50.0, 50 ,,2023-01-09,2.0,China Aerospace Science and Technology Corp. (CASC),China,Jiuquan Satellite Launch Center,Ceres,2023-003C,55135.0,https://www.newspace.im/constellations/xyong-microelectronics-park
2023-01-03,Lemur-2 FuenteTaja-01 (FM169),Lemur FM169,Luxembourg,Luxembourg,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,SUN-SYNCHRONOUS,0.0,517.0,537.0,0.00145,97.5,94.6,10.0,,,2023-01-03,,Spire Global,USA,Cape Canaveral,Falcon 9,2023-001CH,55088.0,
2023-01-03,Umbra-04,Umbra-04,USA,USA,UMBRA,Commercial,Earth Observation,Radar Imaging,LEO,SUN-SYNCHRONOUS,0.0,521.0,537.0,0.00116,97.5,95.1,65.0, 60 ,,2023-01-03,,UMBRA,USA,Cape Canaveral,Falcon 9,2023-001AT,55050.0,
2023-01-03,uSat-32 (Albania-1),t-32,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,SUN-SYNCHRONOUS,0.0,521.0,537.0,0.00116,97.5,95.1,42.0,,,2023-01-03,3.0,Satellogic,Argentina,Cape Canaveral,Falcon 9,2023-001BH,55064.0,Collaboration with Albania and dedicated usage of satellite by Albania.
2023-01-03,Umbra-05,Umbra-05,USA,USA,UMBRA,Commercial,Earth Observation,Radar Imaging,LEO,SUN-SYNCHRONOUS,0.0,519.0,537.0,0.0013,97.5,95.1,65.0, 60 ,,2023-01-03,,UMBRA,USA,Cape Canaveral,Falcon 9,2023-001AD,55036.0,
